"T",,"date"
181,1834.06,"2022,05,30,11:34:19"
181.5,1835.06,"2022,05,30,11:34:20"
181.5,1836.06,"2022,05,30,11:34:21"
181.25,1837.07,"2022,05,30,11:34:22"
181.5,1838.07,"2022,05,30,11:34:23"
182,1839.07,"2022,05,30,11:34:24"
182,1840.07,"2022,05,30,11:34:25"
181.5,1841.07,"2022,05,30,11:34:26"
181.5,1842.07,"2022,05,30,11:34:27"
182,1843.08,"2022,05,30,11:34:28"
181.75,1844.08,"2022,05,30,11:34:29"
182.5,1845.08,"2022,05,30,11:34:30"
182,1846.08,"2022,05,30,11:34:31"
182.25,1847.08,"2022,05,30,11:34:32"
182.25,1848.08,"2022,05,30,11:34:33"
182.75,1849.09,"2022,05,30,11:34:34"
182.5,1850.09,"2022,05,30,11:34:35"
182.5,1851.09,"2022,05,30,11:34:36"
182.75,1852.09,"2022,05,30,11:34:37"
182.25,1853.09,"2022,05,30,11:34:38"
182.75,1854.09,"2022,05,30,11:34:39"
183.25,1855.1,"2022,05,30,11:34:40"
182.75,1856.1,"2022,05,30,11:34:41"
183.25,1857.1,"2022,05,30,11:34:42"
182.5,1858.1,"2022,05,30,11:34:43"
183.25,1859.1,"2022,05,30,11:34:44"
183.5,1860.1,"2022,05,30,11:34:45"
183,1861.11,"2022,05,30,11:34:46"
183.5,1862.11,"2022,05,30,11:34:47"
183.5,1863.11,"2022,05,30,11:34:48"
183.25,1864.11,"2022,05,30,11:34:49"
183.25,1865.11,"2022,05,30,11:34:50"
183,1866.11,"2022,05,30,11:34:51"
183.5,1867.12,"2022,05,30,11:34:52"
183.75,1868.12,"2022,05,30,11:34:53"
183.75,1869.12,"2022,05,30,11:34:54"
183.75,1870.12,"2022,05,30,11:34:55"
183.25,1871.12,"2022,05,30,11:34:56"
184,1872.12,"2022,05,30,11:34:57"
183.75,1873.13,"2022,05,30,11:34:58"
184.25,1874.13,"2022,05,30,11:34:59"
183.75,1875.13,"2022,05,30,11:35:00"
184,1876.13,"2022,05,30,11:35:01"
184,1877.13,"2022,05,30,11:35:02"
184.5,1878.13,"2022,05,30,11:35:03"
184.25,1879.14,"2022,05,30,11:35:04"
184.25,1880.14,"2022,05,30,11:35:05"
184.5,1881.14,"2022,05,30,11:35:06"
185,1882.14,"2022,05,30,11:35:07"
184.5,1883.14,"2022,05,30,11:35:08"
184.5,1884.14,"2022,05,30,11:35:09"
185.25,1885.15,"2022,05,30,11:35:10"
185.25,1886.15,"2022,05,30,11:35:11"
185.25,1887.15,"2022,05,30,11:35:12"
185,1888.15,"2022,05,30,11:35:13"
185.25,1889.15,"2022,05,30,11:35:14"
185.5,1890.15,"2022,05,30,11:35:15"
185.25,1891.16,"2022,05,30,11:35:16"
185.5,1892.16,"2022,05,30,11:35:17"
186,1893.16,"2022,05,30,11:35:18"
186.25,1894.16,"2022,05,30,11:35:19"
186.25,1895.16,"2022,05,30,11:35:20"
186.5,1896.16,"2022,05,30,11:35:21"
186.5,1897.17,"2022,05,30,11:35:22"
186.5,1898.17,"2022,05,30,11:35:23"
186,1899.17,"2022,05,30,11:35:24"
186.25,1900.17,"2022,05,30,11:35:25"
186,1901.17,"2022,05,30,11:35:26"
186.25,1902.17,"2022,05,30,11:35:27"
186,1903.18,"2022,05,30,11:35:28"
186.25,1904.18,"2022,05,30,11:35:29"
187,1905.18,"2022,05,30,11:35:30"
186.5,1906.18,"2022,05,30,11:35:31"
186.5,1907.18,"2022,05,30,11:35:32"
187.25,1908.18,"2022,05,30,11:35:33"
186.75,1909.19,"2022,05,30,11:35:34"
187.25,1910.19,"2022,05,30,11:35:35"
186.75,1911.19,"2022,05,30,11:35:36"
187.5,1912.19,"2022,05,30,11:35:37"
186.75,1913.19,"2022,05,30,11:35:38"
187.75,1914.19,"2022,05,30,11:35:39"
187.5,1915.19,"2022,05,30,11:35:40"
187.5,1916.2,"2022,05,30,11:35:41"
188,1917.2,"2022,05,30,11:35:42"
188,1918.2,"2022,05,30,11:35:43"
188,1919.2,"2022,05,30,11:35:44"
188,1920.2,"2022,05,30,11:35:45"
188.25,1921.2,"2022,05,30,11:35:46"
187.75,1922.21,"2022,05,30,11:35:47"
187.5,1923.21,"2022,05,30,11:35:48"
187.75,1924.21,"2022,05,30,11:35:49"
188.5,1925.21,"2022,05,30,11:35:50"
188.5,1926.21,"2022,05,30,11:35:51"
188,1927.21,"2022,05,30,11:35:52"
188.75,1928.22,"2022,05,30,11:35:53"
188.25,1929.22,"2022,05,30,11:35:54"
189,1930.22,"2022,05,30,11:35:55"
188.5,1931.22,"2022,05,30,11:35:56"
189.25,1932.22,"2022,05,30,11:35:57"
188.75,1933.22,"2022,05,30,11:35:58"
188.75,1934.23,"2022,05,30,11:35:59"
189,1935.23,"2022,05,30,11:36:00"
189,1936.23,"2022,05,30,11:36:01"
188.75,1937.23,"2022,05,30,11:36:02"
189.5,1938.23,"2022,05,30,11:36:03"
189.75,1939.23,"2022,05,30,11:36:04"
189.5,1940.23,"2022,05,30,11:36:05"
189.5,1941.24,"2022,05,30,11:36:06"
189.5,1942.24,"2022,05,30,11:36:07"
189.5,1943.24,"2022,05,30,11:36:08"
189.75,1944.24,"2022,05,30,11:36:09"
190,1945.24,"2022,05,30,11:36:10"
189.75,1946.25,"2022,05,30,11:36:11"
190.25,1947.25,"2022,05,30,11:36:12"
190.5,1948.25,"2022,05,30,11:36:13"
190.5,1949.25,"2022,05,30,11:36:14"
190,1950.25,"2022,05,30,11:36:15"
190.5,1951.25,"2022,05,30,11:36:16"
190.25,1952.26,"2022,05,30,11:36:17"
190.75,1953.26,"2022,05,30,11:36:18"
190.75,1954.26,"2022,05,30,11:36:19"
190.75,1955.26,"2022,05,30,11:36:20"
191,1956.26,"2022,05,30,11:36:21"
191,1957.26,"2022,05,30,11:36:22"
190.75,1958.27,"2022,05,30,11:36:23"
191,1959.27,"2022,05,30,11:36:24"
191.25,1960.27,"2022,05,30,11:36:25"
190.75,1961.27,"2022,05,30,11:36:26"
191,1962.27,"2022,05,30,11:36:27"
191,1963.27,"2022,05,30,11:36:28"
191.25,1964.28,"2022,05,30,11:36:29"
191,1965.28,"2022,05,30,11:36:30"
191.5,1966.28,"2022,05,30,11:36:31"
191.25,1967.28,"2022,05,30,11:36:32"
191.5,1968.28,"2022,05,30,11:36:33"
192,1969.28,"2022,05,30,11:36:34"
192.25,1970.29,"2022,05,30,11:36:35"
191.5,1971.29,"2022,05,30,11:36:36"
191.75,1972.29,"2022,05,30,11:36:37"
191.75,1973.29,"2022,05,30,11:36:38"
192.25,1974.29,"2022,05,30,11:36:39"
192.25,1975.29,"2022,05,30,11:36:40"
192,1976.3,"2022,05,30,11:36:41"
192.25,1977.3,"2022,05,30,11:36:42"
192,1978.3,"2022,05,30,11:36:43"
192.5,1979.3,"2022,05,30,11:36:44"
192,1980.3,"2022,05,30,11:36:45"
192.25,1981.3,"2022,05,30,11:36:46"
192.25,1982.3,"2022,05,30,11:36:47"
192.25,1983.31,"2022,05,30,11:36:48"
192.75,1984.31,"2022,05,30,11:36:49"
192.25,1985.31,"2022,05,30,11:36:50"
193,1986.31,"2022,05,30,11:36:51"
193,1987.31,"2022,05,30,11:36:52"
192.5,1988.31,"2022,05,30,11:36:53"
192.75,1989.32,"2022,05,30,11:36:54"
193,1990.32,"2022,05,30,11:36:55"
193,1991.32,"2022,05,30,11:36:56"
193,1992.32,"2022,05,30,11:36:57"
193.25,1993.32,"2022,05,30,11:36:58"
193.75,1994.32,"2022,05,30,11:36:59"
193.75,1995.33,"2022,05,30,11:37:00"
194,1996.33,"2022,05,30,11:37:01"
193.75,1997.33,"2022,05,30,11:37:02"
194,1998.33,"2022,05,30,11:37:03"
193.5,1999.33,"2022,05,30,11:37:04"
194,2000.33,"2022,05,30,11:37:05"
194.25,2001.34,"2022,05,30,11:37:06"
194.25,2002.34,"2022,05,30,11:37:07"
193.75,2003.34,"2022,05,30,11:37:08"
194.5,2004.34,"2022,05,30,11:37:09"
194,2005.34,"2022,05,30,11:37:10"
194,2006.34,"2022,05,30,11:37:11"
194.5,2007.34,"2022,05,30,11:37:12"
194.75,2008.35,"2022,05,30,11:37:13"
194.25,2009.35,"2022,05,30,11:37:14"
195,2010.35,"2022,05,30,11:37:15"
194.75,2011.35,"2022,05,30,11:37:16"
195.25,2012.35,"2022,05,30,11:37:17"
195.25,2013.35,"2022,05,30,11:37:18"
195.5,2014.36,"2022,05,30,11:37:19"
195.5,2015.36,"2022,05,30,11:37:20"
195,2016.36,"2022,05,30,11:37:21"
195.25,2017.36,"2022,05,30,11:37:22"
195,2018.36,"2022,05,30,11:37:23"
195.5,2019.36,"2022,05,30,11:37:24"
195.75,2020.37,"2022,05,30,11:37:25"
195.25,2021.37,"2022,05,30,11:37:26"
195.5,2022.37,"2022,05,30,11:37:27"
195.25,2023.37,"2022,05,30,11:37:28"
195.75,2024.37,"2022,05,30,11:37:29"
195.25,2025.38,"2022,05,30,11:37:30"
195.5,2026.38,"2022,05,30,11:37:31"
196.25,2027.38,"2022,05,30,11:37:32"
195.75,2028.38,"2022,05,30,11:37:33"
195.75,2029.38,"2022,05,30,11:37:34"
195.75,2030.38,"2022,05,30,11:37:35"
196.5,2031.39,"2022,05,30,11:37:36"
196.5,2032.39,"2022,05,30,11:37:37"
196.75,2033.39,"2022,05,30,11:37:38"
196.75,2034.39,"2022,05,30,11:37:39"
196.75,2035.39,"2022,05,30,11:37:40"
196.75,2036.39,"2022,05,30,11:37:41"
196.5,2037.4,"2022,05,30,11:37:42"
197,2038.4,"2022,05,30,11:37:43"
197.25,2039.4,"2022,05,30,11:37:44"
197.25,2040.4,"2022,05,30,11:37:45"
197.25,2041.4,"2022,05,30,11:37:46"
196.5,2042.4,"2022,05,30,11:37:47"
197.25,2043.41,"2022,05,30,11:37:48"
197,2044.41,"2022,05,30,11:37:49"
197,2045.41,"2022,05,30,11:37:50"
196.75,2046.41,"2022,05,30,11:37:51"
197,2047.41,"2022,05,30,11:37:52"
197.5,2048.41,"2022,05,30,11:37:53"
197.25,2049.41,"2022,05,30,11:37:54"
197.75,2050.42,"2022,05,30,11:37:55"
197.25,2051.42,"2022,05,30,11:37:56"
197.5,2052.42,"2022,05,30,11:37:57"
197.25,2053.42,"2022,05,30,11:37:58"
197.5,2054.42,"2022,05,30,11:37:59"
198.25,2055.42,"2022,05,30,11:38:00"
197.75,2056.43,"2022,05,30,11:38:01"
198,2057.43,"2022,05,30,11:38:02"
198.25,2058.43,"2022,05,30,11:38:03"
197.75,2059.43,"2022,05,30,11:38:04"
198.5,2060.43,"2022,05,30,11:38:05"
198,2061.43,"2022,05,30,11:38:06"
198.5,2062.44,"2022,05,30,11:38:07"
198.5,2063.44,"2022,05,30,11:38:08"
198.5,2064.44,"2022,05,30,11:38:09"
198.5,2065.44,"2022,05,30,11:38:10"
198.25,2066.44,"2022,05,30,11:38:11"
198.75,2067.44,"2022,05,30,11:38:12"
199.25,2068.45,"2022,05,30,11:38:13"
198.75,2069.45,"2022,05,30,11:38:14"
199,2070.45,"2022,05,30,11:38:15"
198.75,2071.45,"2022,05,30,11:38:16"
199.25,2072.45,"2022,05,30,11:38:17"
199,2073.45,"2022,05,30,11:38:18"
199.5,2074.46,"2022,05,30,11:38:19"
199.5,2075.46,"2022,05,30,11:38:20"
199.5,2076.46,"2022,05,30,11:38:21"
199.5,2077.46,"2022,05,30,11:38:22"
199.5,2078.46,"2022,05,30,11:38:23"
200.25,2079.46,"2022,05,30,11:38:24"
200,2080.47,"2022,05,30,11:38:25"
199.75,2081.47,"2022,05,30,11:38:26"
199.5,2082.47,"2022,05,30,11:38:27"
199.75,2083.48,"2022,05,30,11:38:28"
199.75,2084.48,"2022,05,30,11:38:29"
200.25,2085.48,"2022,05,30,11:38:30"
199.75,2086.48,"2022,05,30,11:38:31"
200.5,2087.48,"2022,05,30,11:38:32"
200.5,2088.48,"2022,05,30,11:38:33"
200.5,2089.49,"2022,05,30,11:38:34"
200.25,2090.49,"2022,05,30,11:38:35"
200.25,2091.49,"2022,05,30,11:38:36"
200.75,2092.49,"2022,05,30,11:38:37"
200.25,2093.49,"2022,05,30,11:38:38"
200.75,2094.49,"2022,05,30,11:38:39"
200,2095.5,"2022,05,30,11:38:40"
200.75,2096.5,"2022,05,30,11:38:41"
201,2097.5,"2022,05,30,11:38:42"
201,2098.5,"2022,05,30,11:38:43"
200.25,2099.5,"2022,05,30,11:38:44"
200.25,2100.5,"2022,05,30,11:38:45"
200,2101.51,"2022,05,30,11:38:46"
200.75,2102.51,"2022,05,30,11:38:47"
200.5,2103.51,"2022,05,30,11:38:48"
200.5,2104.51,"2022,05,30,11:38:49"
200.25,2105.51,"2022,05,30,11:38:50"
200,2106.51,"2022,05,30,11:38:51"
200.5,2107.52,"2022,05,30,11:38:52"
200.25,2108.52,"2022,05,30,11:38:53"
199.75,2109.52,"2022,05,30,11:38:54"
199.75,2110.52,"2022,05,30,11:38:55"
200.25,2111.52,"2022,05,30,11:38:56"
199.75,2112.53,"2022,05,30,11:38:57"
200,2113.53,"2022,05,30,11:38:58"
199,2114.53,"2022,05,30,11:38:59"
200,2115.53,"2022,05,30,11:39:00"
199.25,2116.53,"2022,05,30,11:39:01"
199.25,2117.53,"2022,05,30,11:39:02"
199,2118.53,"2022,05,30,11:39:03"
199.5,2119.54,"2022,05,30,11:39:04"
199,2120.54,"2022,05,30,11:39:05"
199,2121.54,"2022,05,30,11:39:06"
199.5,2122.54,"2022,05,30,11:39:07"
198.75,2123.54,"2022,05,30,11:39:08"
199.75,2124.54,"2022,05,30,11:39:09"
199,2125.55,"2022,05,30,11:39:10"
199.75,2126.55,"2022,05,30,11:39:11"
199.5,2127.55,"2022,05,30,11:39:12"
199.25,2128.55,"2022,05,30,11:39:13"
199.25,2129.55,"2022,05,30,11:39:14"
199.25,2130.56,"2022,05,30,11:39:15"
199.5,2131.56,"2022,05,30,11:39:16"
199.75,2132.56,"2022,05,30,11:39:17"
199.25,2133.56,"2022,05,30,11:39:18"
199.75,2134.56,"2022,05,30,11:39:19"
199.25,2135.56,"2022,05,30,11:39:20"
199,2136.57,"2022,05,30,11:39:21"
199.5,2137.57,"2022,05,30,11:39:22"
199.75,2138.57,"2022,05,30,11:39:23"
199.25,2139.57,"2022,05,30,11:39:24"
200,2140.57,"2022,05,30,11:39:25"
199.75,2141.57,"2022,05,30,11:39:26"
199.5,2142.58,"2022,05,30,11:39:27"
199.75,2143.58,"2022,05,30,11:39:28"
199.75,2144.58,"2022,05,30,11:39:29"
199.75,2145.58,"2022,05,30,11:39:30"
199.5,2146.58,"2022,05,30,11:39:31"
200.25,2147.58,"2022,05,30,11:39:32"
200,2148.59,"2022,05,30,11:39:33"
200,2149.59,"2022,05,30,11:39:34"
200,2150.59,"2022,05,30,11:39:35"
200,2151.59,"2022,05,30,11:39:36"
200.25,2152.59,"2022,05,30,11:39:37"
200.25,2153.59,"2022,05,30,11:39:38"
199.75,2154.6,"2022,05,30,11:39:39"
200.75,2155.6,"2022,05,30,11:39:40"
200.25,2156.6,"2022,05,30,11:39:41"
200.25,2157.6,"2022,05,30,11:39:42"
200,2158.6,"2022,05,30,11:39:43"
200,2159.6,"2022,05,30,11:39:44"
200.5,2160.61,"2022,05,30,11:39:45"
200,2161.61,"2022,05,30,11:39:46"
200,2162.61,"2022,05,30,11:39:47"
199.75,2163.61,"2022,05,30,11:39:48"
200.75,2164.61,"2022,05,30,11:39:49"
200.25,2165.62,"2022,05,30,11:39:50"
200.5,2166.62,"2022,05,30,11:39:51"
200.75,2167.62,"2022,05,30,11:39:52"
200,2168.62,"2022,05,30,11:39:53"
200.5,2169.62,"2022,05,30,11:39:54"
199.75,2170.62,"2022,05,30,11:39:55"
200.25,2171.63,"2022,05,30,11:39:56"
200.5,2172.63,"2022,05,30,11:39:57"
199.75,2173.63,"2022,05,30,11:39:58"
200.25,2174.63,"2022,05,30,11:39:59"
200,2175.63,"2022,05,30,11:40:00"
200,2176.63,"2022,05,30,11:40:01"
200.25,2177.64,"2022,05,30,11:40:02"
199.5,2178.64,"2022,05,30,11:40:03"
199.75,2179.64,"2022,05,30,11:40:04"
199.5,2180.64,"2022,05,30,11:40:05"
199.5,2181.64,"2022,05,30,11:40:06"
199.75,2182.64,"2022,05,30,11:40:07"
199.5,2183.65,"2022,05,30,11:40:08"
200.25,2184.65,"2022,05,30,11:40:09"
199.75,2185.65,"2022,05,30,11:40:10"
199.25,2186.65,"2022,05,30,11:40:11"
199.5,2187.65,"2022,05,30,11:40:12"
199.5,2188.65,"2022,05,30,11:40:13"
199.5,2189.66,"2022,05,30,11:40:14"
199.5,2190.66,"2022,05,30,11:40:15"
199.5,2191.66,"2022,05,30,11:40:16"
199.25,2192.66,"2022,05,30,11:40:17"
199.5,2193.66,"2022,05,30,11:40:18"
200,2194.66,"2022,05,30,11:40:19"
199.75,2195.67,"2022,05,30,11:40:20"
199.5,2196.67,"2022,05,30,11:40:21"
199.5,2197.67,"2022,05,30,11:40:22"
200.25,2198.67,"2022,05,30,11:40:23"
200,2199.67,"2022,05,30,11:40:24"
199.5,2200.68,"2022,05,30,11:40:25"
199.5,2201.68,"2022,05,30,11:40:26"
199.75,2202.68,"2022,05,30,11:40:27"
199.5,2203.68,"2022,05,30,11:40:28"
199.75,2204.68,"2022,05,30,11:40:29"
200,2205.68,"2022,05,30,11:40:30"
199.5,2206.68,"2022,05,30,11:40:31"
200.25,2207.69,"2022,05,30,11:40:32"
199.75,2208.69,"2022,05,30,11:40:33"
200.25,2209.69,"2022,05,30,11:40:34"
200.5,2210.69,"2022,05,30,11:40:35"
199.75,2211.69,"2022,05,30,11:40:36"
200.25,2212.7,"2022,05,30,11:40:37"
200.5,2213.7,"2022,05,30,11:40:38"
200,2214.7,"2022,05,30,11:40:39"
200,2215.7,"2022,05,30,11:40:40"
200,2216.7,"2022,05,30,11:40:41"
200.25,2217.7,"2022,05,30,11:40:42"
200.5,2218.71,"2022,05,30,11:40:43"
200,2219.71,"2022,05,30,11:40:44"
200.75,2220.71,"2022,05,30,11:40:45"
200,2221.71,"2022,05,30,11:40:46"
200.25,2222.71,"2022,05,30,11:40:47"
200.5,2223.72,"2022,05,30,11:40:48"
199.75,2224.72,"2022,05,30,11:40:49"
200.75,2225.72,"2022,05,30,11:40:50"
200,2226.72,"2022,05,30,11:40:51"
200.75,2227.72,"2022,05,30,11:40:52"
200.5,2228.72,"2022,05,30,11:40:53"
200,2229.72,"2022,05,30,11:40:54"
200.75,2230.73,"2022,05,30,11:40:55"
200.5,2231.73,"2022,05,30,11:40:56"
199.75,2232.73,"2022,05,30,11:40:57"
200.5,2233.73,"2022,05,30,11:40:58"
200,2234.73,"2022,05,30,11:40:59"
200.25,2235.74,"2022,05,30,11:41:00"
200,2236.74,"2022,05,30,11:41:01"
199.75,2237.74,"2022,05,30,11:41:02"
200.5,2238.74,"2022,05,30,11:41:03"
199.75,2239.74,"2022,05,30,11:41:04"
199.75,2240.75,"2022,05,30,11:41:05"
200.5,2241.75,"2022,05,30,11:41:06"
200,2242.75,"2022,05,30,11:41:07"
199.75,2243.75,"2022,05,30,11:41:08"
199.5,2244.75,"2022,05,30,11:41:09"
200.5,2245.75,"2022,05,30,11:41:10"
199.5,2246.76,"2022,05,30,11:41:11"
200.25,2247.76,"2022,05,30,11:41:12"
200.25,2248.76,"2022,05,30,11:41:13"
200,2249.76,"2022,05,30,11:41:14"
199.5,2250.76,"2022,05,30,11:41:15"
200,2251.76,"2022,05,30,11:41:16"
200,2252.76,"2022,05,30,11:41:17"
200,2253.77,"2022,05,30,11:41:18"
199.75,2254.77,"2022,05,30,11:41:19"
200.25,2255.77,"2022,05,30,11:41:20"
199.25,2256.77,"2022,05,30,11:41:21"
199.75,2257.77,"2022,05,30,11:41:22"
200.25,2258.78,"2022,05,30,11:41:23"
199.5,2259.78,"2022,05,30,11:41:24"
200,2260.78,"2022,05,30,11:41:25"
199.5,2261.81,"2022,05,30,11:41:26"
199.25,2262.81,"2022,05,30,11:41:27"
200,2263.81,"2022,05,30,11:41:28"
199.5,2264.82,"2022,05,30,11:41:29"
199.5,2265.82,"2022,05,30,11:41:30"
199.25,2266.82,"2022,05,30,11:41:31"
199.25,2267.82,"2022,05,30,11:41:32"
199.75,2268.82,"2022,05,30,11:41:33"
200,2269.82,"2022,05,30,11:41:34"
199.75,2270.83,"2022,05,30,11:41:35"
199.25,2271.83,"2022,05,30,11:41:36"
199,2272.83,"2022,05,30,11:41:37"
199.25,2273.83,"2022,05,30,11:41:38"
199.5,2274.83,"2022,05,30,11:41:39"
199.75,2275.83,"2022,05,30,11:41:40"
199,2276.84,"2022,05,30,11:41:41"
199.5,2277.84,"2022,05,30,11:41:42"
199,2278.84,"2022,05,30,11:41:43"
199,2279.84,"2022,05,30,11:41:44"
198.75,2280.84,"2022,05,30,11:41:45"
199,2281.84,"2022,05,30,11:41:46"
198.75,2282.85,"2022,05,30,11:41:47"
198.5,2283.85,"2022,05,30,11:41:48"
198.75,2284.85,"2022,05,30,11:41:49"
199,2285.85,"2022,05,30,11:41:50"
198.25,2286.85,"2022,05,30,11:41:51"
198.75,2287.86,"2022,05,30,11:41:52"
198.25,2288.86,"2022,05,30,11:41:53"
198,2289.86,"2022,05,30,11:41:54"
198,2290.86,"2022,05,30,11:41:55"
198,2291.86,"2022,05,30,11:41:56"
197.75,2292.86,"2022,05,30,11:41:57"
197.5,2293.87,"2022,05,30,11:41:58"
197.25,2294.87,"2022,05,30,11:41:59"
197.75,2295.87,"2022,05,30,11:42:00"
197.5,2296.87,"2022,05,30,11:42:01"
197.75,2297.87,"2022,05,30,11:42:02"
197.5,2298.87,"2022,05,30,11:42:03"
197.25,2299.88,"2022,05,30,11:42:04"
197.25,2300.88,"2022,05,30,11:42:05"
197,2301.88,"2022,05,30,11:42:06"
197.25,2302.88,"2022,05,30,11:42:07"
196.75,2303.88,"2022,05,30,11:42:08"
196.5,2304.88,"2022,05,30,11:42:09"
196,2305.88,"2022,05,30,11:42:10"
196.5,2306.89,"2022,05,30,11:42:11"
196.25,2307.89,"2022,05,30,11:42:12"
195.75,2308.89,"2022,05,30,11:42:13"
195.75,2309.89,"2022,05,30,11:42:14"
196,2310.89,"2022,05,30,11:42:15"
196,2311.89,"2022,05,30,11:42:16"
195.25,2312.9,"2022,05,30,11:42:17"
195.75,2313.9,"2022,05,30,11:42:18"
195.25,2314.9,"2022,05,30,11:42:19"
195.25,2315.9,"2022,05,30,11:42:20"
195.75,2316.9,"2022,05,30,11:42:21"
195.5,2317.9,"2022,05,30,11:42:22"
194.75,2318.91,"2022,05,30,11:42:23"
195.5,2319.91,"2022,05,30,11:42:24"
195,2320.91,"2022,05,30,11:42:25"
195.25,2321.91,"2022,05,30,11:42:26"
194.5,2322.91,"2022,05,30,11:42:27"
194.5,2323.92,"2022,05,30,11:42:28"
194,2324.92,"2022,05,30,11:42:29"
194.25,2325.92,"2022,05,30,11:42:30"
194,2326.92,"2022,05,30,11:42:31"
194.5,2327.92,"2022,05,30,11:42:32"
193.75,2328.92,"2022,05,30,11:42:33"
193.75,2329.93,"2022,05,30,11:42:34"
193.5,2330.93,"2022,05,30,11:42:35"
193.5,2331.93,"2022,05,30,11:42:36"
194,2332.93,"2022,05,30,11:42:37"
194,2333.93,"2022,05,30,11:42:38"
193.25,2334.93,"2022,05,30,11:42:39"
193,2335.94,"2022,05,30,11:42:40"
192.75,2336.94,"2022,05,30,11:42:41"
193.25,2337.94,"2022,05,30,11:42:42"
193.25,2338.94,"2022,05,30,11:42:43"
192.5,2339.94,"2022,05,30,11:42:44"
193.25,2340.94,"2022,05,30,11:42:45"
193,2341.95,"2022,05,30,11:42:46"
192.75,2342.95,"2022,05,30,11:42:47"
192.75,2343.95,"2022,05,30,11:42:48"
192.5,2344.95,"2022,05,30,11:42:49"
192.5,2345.95,"2022,05,30,11:42:50"
192.75,2346.95,"2022,05,30,11:42:51"
192,2347.95,"2022,05,30,11:42:52"
191.75,2348.96,"2022,05,30,11:42:53"
192,2349.96,"2022,05,30,11:42:54"
192.25,2350.96,"2022,05,30,11:42:55"
192,2351.96,"2022,05,30,11:42:56"
191.75,2352.96,"2022,05,30,11:42:57"
191,2353.96,"2022,05,30,11:42:58"
191.5,2354.97,"2022,05,30,11:42:59"
191.5,2355.97,"2022,05,30,11:43:00"
191.5,2356.97,"2022,05,30,11:43:01"
190.5,2357.97,"2022,05,30,11:43:02"
191,2358.97,"2022,05,30,11:43:03"
191,2359.97,"2022,05,30,11:43:04"
190.5,2360.98,"2022,05,30,11:43:05"
190.25,2361.98,"2022,05,30,11:43:06"
190.75,2362.98,"2022,05,30,11:43:07"
190.5,2363.98,"2022,05,30,11:43:08"
190.25,2364.98,"2022,05,30,11:43:09"
190.5,2365.99,"2022,05,30,11:43:10"
189.75,2366.99,"2022,05,30,11:43:11"
190.25,2367.99,"2022,05,30,11:43:12"
189.5,2368.99,"2022,05,30,11:43:13"
189.5,2369.99,"2022,05,30,11:43:14"
190,2370.99,"2022,05,30,11:43:15"
189.5,2372,"2022,05,30,11:43:16"
189.25,2373,"2022,05,30,11:43:17"
189.5,2374,"2022,05,30,11:43:18"
189.25,2375,"2022,05,30,11:43:19"
188.75,2376,"2022,05,30,11:43:20"
189.25,2377,"2022,05,30,11:43:21"
189.25,2378.01,"2022,05,30,11:43:22"
189,2379.01,"2022,05,30,11:43:23"
188.5,2380.01,"2022,05,30,11:43:24"
189.25,2381.01,"2022,05,30,11:43:25"
188.75,2382.01,"2022,05,30,11:43:26"
189,2383.01,"2022,05,30,11:43:27"
188.25,2384.02,"2022,05,30,11:43:28"
188.25,2385.02,"2022,05,30,11:43:29"
188.75,2386.02,"2022,05,30,11:43:30"
188,2387.02,"2022,05,30,11:43:31"
188.25,2388.02,"2022,05,30,11:43:32"
187.75,2389.02,"2022,05,30,11:43:33"
187.75,2390.02,"2022,05,30,11:43:34"
187.5,2391.03,"2022,05,30,11:43:35"
187.5,2392.03,"2022,05,30,11:43:36"
187.5,2393.03,"2022,05,30,11:43:37"
188,2394.03,"2022,05,30,11:43:38"
187.25,2395.03,"2022,05,30,11:43:39"
187.25,2396.03,"2022,05,30,11:43:40"
187.25,2397.04,"2022,05,30,11:43:41"
187.5,2398.04,"2022,05,30,11:43:42"
187.5,2399.04,"2022,05,30,11:43:43"
187.25,2400.04,"2022,05,30,11:43:44"
186.75,2401.04,"2022,05,30,11:43:45"
186.75,2402.05,"2022,05,30,11:43:46"
187.5,2403.05,"2022,05,30,11:43:47"
187,2404.05,"2022,05,30,11:43:48"
187.25,2405.05,"2022,05,30,11:43:49"
186.25,2406.05,"2022,05,30,11:43:50"
186.25,2407.05,"2022,05,30,11:43:51"
186.75,2408.06,"2022,05,30,11:43:52"
186,2409.06,"2022,05,30,11:43:53"
186.75,2410.06,"2022,05,30,11:43:54"
186.5,2411.06,"2022,05,30,11:43:55"
185.75,2412.06,"2022,05,30,11:43:56"
186.25,2413.06,"2022,05,30,11:43:57"
185.75,2414.07,"2022,05,30,11:43:58"
186,2415.07,"2022,05,30,11:43:59"
185.75,2416.07,"2022,05,30,11:44:00"
186,2417.07,"2022,05,30,11:44:01"
186,2418.07,"2022,05,30,11:44:02"
185.75,2419.07,"2022,05,30,11:44:03"
185.75,2420.08,"2022,05,30,11:44:04"
185,2421.08,"2022,05,30,11:44:05"
185.25,2422.08,"2022,05,30,11:44:06"
185.75,2423.08,"2022,05,30,11:44:07"
184.75,2424.08,"2022,05,30,11:44:08"
185.25,2425.08,"2022,05,30,11:44:09"
184.75,2426.09,"2022,05,30,11:44:10"
184.5,2427.09,"2022,05,30,11:44:11"
184.5,2428.09,"2022,05,30,11:44:12"
185,2429.09,"2022,05,30,11:44:13"
