T,t
104.59964054203628,802.0
104.08991235359056,803.0
104.08991235359056,804.0
104.59964054203628,805.0
104.34477644781343,806.0
104.59964054203628,807.0
104.85450463625914,808.0
105.36423282470484,809.0
105.10936873048199,810.0
105.87396101315056,811.0
105.87396101315056,812.0
105.6190969189277,813.0
105.87396101315056,814.0
106.38368920159627,815.0
106.38368920159627,816.0
106.63855329581912,817.0
106.12882510737342,818.0
106.38368920159627,819.0
106.89341739004198,820.0
106.63855329581912,821.0
106.89341739004198,822.0
106.89341739004198,823.0
107.14828148426483,824.0
107.65800967271055,825.0
107.14828148426483,826.0
107.65800967271055,827.0
107.9128737669334,828.0
108.16773786115625,829.0
107.9128737669334,830.0
108.42260195537911,831.0
108.16773786115625,832.0
108.42260195537911,833.0
108.42260195537911,834.0
108.93233014382481,835.0
108.67746604960196,836.0
109.44205833227053,837.0
108.67746604960196,838.0
109.69692242649339,839.0
109.69692242649339,840.0
109.18719423804768,841.0
109.95178652071624,842.0
109.44205833227053,843.0
110.46151470916195,844.0
110.46151470916195,845.0
109.69692242649339,846.0
110.46151470916195,847.0
110.46151470916195,848.0
110.97124289760767,849.0
110.2066506149391,850.0
110.97124289760767,851.0
110.71637880338481,852.0
111.48097108605337,853.0
111.22610699183052,854.0
111.22610699183052,855.0
111.73583518027623,856.0
111.99069927449908,857.0
111.48097108605337,858.0
112.24556336872193,859.0
111.73583518027623,860.0
112.5004274629448,861.0
111.99069927449908,862.0
112.5004274629448,863.0
112.24556336872193,864.0
113.0101556513905,865.0
113.0101556513905,866.0
113.26501974561336,867.0
113.0101556513905,868.0
113.0101556513905,869.0
113.51988383983621,870.0
113.26501974561336,871.0
113.26501974561336,872.0
113.51988383983621,873.0
114.02961202828193,874.0
113.51988383983621,875.0
113.51988383983621,876.0
114.02961202828193,877.0
114.53934021672764,878.0
114.53934021672764,879.0
114.02961202828193,880.0
114.79420431095049,881.0
114.28447612250478,882.0
114.79420431095049,883.0
114.79420431095049,884.0
114.79420431095049,885.0
115.55879659361905,886.0
114.79420431095049,887.0
115.81366068784192,888.0
115.55879659361905,889.0
115.3039324993962,890.0
115.81366068784192,891.0
115.55879659361905,892.0
116.32338887628762,893.0
115.81366068784192,894.0
115.55879659361905,895.0
115.81366068784192,896.0
116.06852478206477,897.0
115.81366068784192,898.0
117.08798115895618,899.0
116.83311706473333,900.0
116.83311706473333,901.0
117.08798115895618,902.0
116.57825297051048,903.0
116.83311706473333,904.0
116.83311706473333,905.0
117.5977093474019,906.0
116.83311706473333,907.0
117.08798115895618,908.0
117.08798115895618,909.0
117.5977093474019,910.0
117.5977093474019,911.0
117.08798115895618,912.0
117.5977093474019,913.0
117.08798115895618,914.0
117.5977093474019,915.0
116.83311706473333,916.0
117.5977093474019,917.0
117.5977093474019,918.0
116.57825297051048,919.0
117.08798115895618,920.0
116.57825297051048,921.0
116.32338887628762,922.0
116.57825297051048,923.0
116.06852478206477,924.0
117.08798115895618,925.0
116.57825297051048,926.0
116.83311706473333,927.0
116.06852478206477,928.0
116.83311706473333,929.0
116.32338887628762,930.0
115.81366068784192,931.0
116.57825297051048,932.0
115.55879659361905,933.0
115.55879659361905,934.0
115.55879659361905,935.0
115.3039324993962,936.0
115.81366068784192,937.0
116.06852478206477,938.0
115.3039324993962,939.0
115.3039324993962,940.0
115.81366068784192,941.0
115.81366068784192,942.0
115.81366068784192,943.0
115.3039324993962,944.0
115.04906840517334,945.0
115.81366068784192,946.0
116.06852478206477,947.0
115.55879659361905,948.0
116.06852478206477,949.0
115.3039324993962,950.0
116.06852478206477,951.0
115.3039324993962,952.0
116.32338887628762,953.0
115.81366068784192,954.0
116.06852478206477,955.0
115.3039324993962,956.0
116.06852478206477,957.0
116.32338887628762,958.0
115.81366068784192,959.0
115.81366068784192,960.0
116.57825297051048,961.0
116.06852478206477,962.0
116.32338887628762,963.0
115.55879659361905,964.0
116.06852478206477,965.0
116.32338887628762,966.0
116.06852478206477,967.0
115.81366068784192,968.0
116.06852478206477,969.0
116.32338887628762,970.0
116.32338887628762,971.0
116.32338887628762,972.0
116.83311706473333,973.0
116.06852478206477,974.0
116.06852478206477,975.0
116.06852478206477,976.0
116.57825297051048,977.0
115.81366068784192,978.0
116.32338887628762,979.0
116.83311706473333,980.0
116.06852478206477,981.0
116.83311706473333,982.0
116.06852478206477,983.0
116.06852478206477,984.0
115.81366068784192,985.0
116.57825297051048,986.0
116.57825297051048,987.0
115.81366068784192,988.0
116.32338887628762,989.0
116.32338887628762,990.0
115.81366068784192,991.0
116.06852478206477,992.0
116.32338887628762,993.0
116.83311706473333,994.0
115.81366068784192,995.0
116.06852478206477,996.0
116.06852478206477,997.0
116.83311706473333,998.0
115.81366068784192,999.0
116.57825297051048,1000.0
116.57825297051048,1001.0
116.06852478206477,1002.0
116.06852478206477,1003.0
115.55879659361905,1004.0
115.81366068784192,1005.0
116.83311706473333,1006.0
116.06852478206477,1007.0
116.57825297051048,1008.0
115.81366068784192,1009.0
116.06852478206477,1010.0
115.55879659361905,1011.0
116.57825297051048,1012.0
115.81366068784192,1013.0
116.32338887628762,1014.0
115.81366068784192,1015.0
116.57825297051048,1016.0
116.57825297051048,1017.0
116.06852478206477,1018.0
116.57825297051048,1019.0
116.32338887628762,1020.0
115.81366068784192,1021.0
116.06852478206477,1022.0
116.06852478206477,1023.0
116.57825297051048,1024.0
115.81366068784192,1025.0
116.06852478206477,1026.0
116.06852478206477,1027.0
117.08798115895618,1028.0
116.57825297051048,1029.0
116.57825297051048,1030.0
116.06852478206477,1031.0
116.32338887628762,1032.0
116.83311706473333,1033.0
116.83311706473333,1034.0
