"t","relay","T"
473,0,75.7999978948536
474,1,75.5451338006308
475,0,75.2902697064079
476,0,75.0354056121851
477,1,74.7805415179622
478,1,75.5451338006308
479,1,74.7805415179622
480,0,74.7805415179622
481,1,75.2902697064079
482,1,75.2902697064079
483,1,74.7805415179622
484,1,75.0354056121851
485,1,75.0354056121851
486,1,75.5451338006308
487,1,74.7805415179622
488,0,75.2902697064079
489,1,75.5451338006308
490,1,74.7805415179622
491,0,75.5451338006308
492,1,75.5451338006308
493,0,75.7999978948536
494,0,75.7999978948536
495,0,75.7999978948536
496,0,75.0354056121851
497,0,75.7999978948536
498,1,75.7999978948536
499,0,75.2902697064079
500,0,76.0548619890765
501,1,76.0548619890765
502,0,76.0548619890765
503,0,75.2902697064079
504,0,76.0548619890765
505,1,75.7999978948536
506,0,75.2902697064079
507,0,75.5451338006308
508,1,76.0548619890765
509,0,75.2902697064079
510,0,76.0548619890765
511,1,76.0548619890765
512,0,75.7999978948536
513,0,76.3097260832994
514,0,76.0548619890765
515,0,75.2902697064079
516,0,76.0548619890765
517,1,75.2902697064079
518,0,75.5451338006308
519,1,75.7999978948536
520,0,76.0548619890765
521,0,75.7999978948536
522,0,76.3097260832994
523,0,76.0548619890765
524,0,75.7999978948536
525,0,75.7999978948536
526,0,76.0548619890765
527,0,75.0354056121851
528,0,75.2902697064079
529,1,75.5451338006308
530,1,75.2902697064079
531,0,75.2902697064079
532,1,75.7999978948536
533,1,75.5451338006308
534,0,75.5451338006308
535,0,75.7999978948536
536,0,75.0354056121851
537,0,75.2902697064079
538,1,75.5451338006308
539,1,75.2902697064079
540,0,75.2902697064079
541,1,74.7805415179622
542,1,75.0354056121851
543,1,74.7805415179622
544,1,75.5451338006308
545,1,75.2902697064079
546,0,74.7805415179622
547,1,75.7999978948536
548,1,75.5451338006308
549,0,75.5451338006308
550,0,75.5451338006308
551,0,75.5451338006308
552,0,75.2902697064079
553,0,76.0548619890765
554,1,75.0354056121851
555,0,75.2902697064079
556,1,75.7999978948536
557,1,75.2902697064079
558,0,75.2902697064079
559,1,75.2902697064079
560,1,76.0548619890765
561,1,75.7999978948536
562,0,75.0354056121851
563,0,75.7999978948536
564,1,75.7999978948536
565,0,75.7999978948536
566,0,76.0548619890765
567,0,75.2902697064079
568,0,76.0548619890765
569,1,75.5451338006308
570,0,76.0548619890765
571,0,75.7999978948536
572,0,76.0548619890765
573,0,75.7999978948536
574,0,75.5451338006308
575,0,76.0548619890765
576,0,76.3097260832994
577,0,75.5451338006308
578,0,75.5451338006308
579,0,75.2902697064079
580,0,75.7999978948536
581,1,75.2902697064079
582,0,75.5451338006308
583,1,75.2902697064079
584,0,76.0548619890765
585,1,75.0354056121851
586,0,76.0548619890765
587,1,75.2902697064079
588,0,75.5451338006308
589,1,76.0548619890765
590,0,76.3097260832994
591,0,75.5451338006308
592,0,76.0548619890765
593,0,76.0548619890765
594,0,75.5451338006308
595,0,76.0548619890765
596,0,76.0548619890765
597,0,75.5451338006308
598,0,75.2902697064079
599,0,75.5451338006308
600,1,75.2902697064079
601,0,76.0548619890765
602,1,75.7999978948536
603,0,75.5451338006308
604,0,75.7999978948536
605,0,75.2902697064079
606,0,75.2902697064079
607,1,75.7999978948536
608,1,75.5451338006308
609,0,76.0548619890765
610,0,76.0548619890765
611,1,75.2902697064079
612,1,76.0548619890765
613,1,75.5451338006308
614,1,75.2902697064079
615,1,75.2902697064079
616,1,76.3097260832994
617,1,75.5451338006308
618,1,75.7999978948536
619,1,75.7999978948536
620,1,76.5645901775222
621,1,76.0548619890765
622,1,76.3097260832994
623,1,76.8194542717451
624,1,76.3097260832994
625,1,76.5645901775222
626,1,76.8194542717451
627,1,77.3291824601908
628,1,76.8194542717451
629,1,76.8194542717451
630,1,76.8194542717451
631,1,77.8389106486365
632,1,78.0937747428593
633,1,77.3291824601908
634,1,78.3486388370822
635,1,77.5840465544136
636,1,78.603502931305
637,1,78.603502931305
638,1,78.3486388370822
639,1,79.1132311197508
640,1,78.603502931305
641,1,78.603502931305
642,1,79.3680952139736
643,1,79.6229593081965
644,1,79.6229593081965
645,1,79.1132311197508
646,1,79.3680952139736
647,1,80.1326874966422
648,1,79.8778234024193
649,1,80.8972797793107
650,1,80.6424156850879
651,1,80.387551590865
652,1,81.4070079677565
653,1,80.6424156850879
654,1,80.8972797793107
655,1,81.6618720619793
656,1,82.171600250425
657,1,82.171600250425
658,1,81.6618720619793
659,1,81.6618720619793
660,1,82.4264643446479
661,1,82.6813284388707
662,1,82.171600250425
663,1,83.1910566273164
664,1,83.1910566273164
665,1,83.4459207215393
666,1,83.4459207215393
667,1,83.7007848157622
668,1,83.1910566273164
669,1,84.2105130042079
670,1,83.7007848157622
671,1,84.2105130042079
672,1,84.4653770984307
673,1,84.9751052868764
674,1,85.2299693810993
675,1,84.9751052868764
676,1,85.739697569545
677,1,85.2299693810993
678,1,85.2299693810993
679,1,85.9945616637678
680,1,86.5042898522136
681,1,85.9945616637678
682,1,86.5042898522136
683,1,86.7591539464364
684,1,86.2494257579907
685,1,86.7591539464364
686,1,87.0140180406593
687,1,87.0140180406593
688,1,87.523746229105
689,1,87.7786103233278
690,1,87.7786103233278
691,1,87.523746229105
692,1,87.523746229105
693,1,87.523746229105
694,1,88.5432026059964
695,1,88.7980667002192
696,1,88.2883385117735
697,1,89.0529307944421
698,1,88.5432026059964
699,1,88.7980667002192
700,1,89.0529307944421
701,1,89.8175230771107
702,1,89.8175230771107
703,1,89.307794888665
704,1,89.8175230771107
705,1,89.8175230771107
706,1,89.8175230771107
707,1,90.0723871713335
708,1,90.5821153597792
709,1,90.5821153597792
710,1,91.091843548225
711,1,90.8369794540021
712,1,90.8369794540021
713,1,90.8369794540021
714,1,91.6015717366707
715,1,92.1112999251164
716,1,91.6015717366707
717,1,92.1112999251164
718,1,91.6015717366707
719,1,92.1112999251164
720,1,92.6210281135621
721,1,92.875892207785
722,1,92.3661640193392
723,1,92.6210281135621
724,1,93.3856203962307
725,1,92.6210281135621
726,1,93.1307563020078
727,1,93.6404844904535
728,1,93.8953485846764
729,1,94.1502126788992
730,1,94.4050767731221
731,1,94.4050767731221
732,1,94.4050767731221
733,1,94.6599408673449
734,1,94.1502126788992
735,1,95.1696690557906
736,1,95.1696690557906
737,1,94.6599408673449
738,1,95.1696690557906
739,1,94.9148049615678
740,1,95.9342613384592
741,1,96.4439895269049
742,1,95.6793972442364
743,1,95.6793972442364
744,1,95.9342613384592
745,1,96.6988536211278
746,1,96.6988536211278
747,1,96.6988536211278
748,1,96.6988536211278
749,1,97.2085818095735
750,1,96.9537177153506
751,1,97.4634459037963
752,1,97.4634459037963
753,1,97.2085818095735
754,1,97.4634459037963
755,1,97.4634459037963
756,1,97.7183099980192
757,1,97.7183099980192
758,1,98.4829022806878
759,1,98.4829022806878
760,1,98.4829022806878
761,1,98.9926304691335
762,1,98.4829022806878
763,1,98.7377663749106
764,1,99.2474945633563
765,1,99.757222751802
766,1,99.2474945633563
767,1,100.012086846025
768,1,99.5023586575792
769,1,99.757222751802
770,1,99.757222751802
771,1,99.757222751802
772,1,100.521815034471
773,1,100.266950940248
774,1,100.266950940248
775,1,100.266950940248
776,1,100.649247081582
777,1,100.521815034471
778,1,100.649247081582
779,1,101.286407317139
780,1,101.413839364251
781,1,101.541271411362
782,1,101.541271411362
783,1,101.286407317139
784,1,101.541271411362
785,1,101.541271411362
786,1,101.541271411362
787,1,101.796135505585
788,1,102.560727788253
789,1,102.050999599808
790,1,102.050999599808
791,1,102.815591882476
792,1,103.070455976699
793,1,102.815591882476
794,1,102.815591882476
795,1,103.580184165145
796,1,103.325320070922
797,1,103.070455976699
798,1,103.325320070922
799,1,104.089912353591
800,1,103.580184165145
801,1,104.089912353591
802,1,104.599640542036
803,1,104.089912353591
804,1,104.089912353591
805,1,104.599640542036
806,1,104.344776447813
807,1,104.599640542036
808,1,104.854504636259
809,1,105.364232824705
810,1,105.109368730482
811,1,105.873961013151
812,1,105.873961013151
813,1,105.619096918928
814,1,105.873961013151
815,1,106.383689201596
816,1,106.383689201596
817,1,106.638553295819
818,1,106.128825107373
819,1,106.383689201596
820,1,106.893417390042
821,1,106.638553295819
822,1,106.893417390042
823,1,106.893417390042
824,1,107.148281484265
825,1,107.658009672711
826,1,107.148281484265
827,1,107.658009672711
828,1,107.912873766933
829,1,108.167737861156
830,1,107.912873766933
831,1,108.422601955379
832,1,108.167737861156
833,1,108.422601955379
834,1,108.422601955379
835,1,108.932330143825
836,1,108.677466049602
837,1,109.442058332271
838,1,108.677466049602
839,1,109.696922426493
840,1,109.696922426493
841,1,109.187194238048
842,1,109.951786520716
843,1,109.442058332271
844,1,110.461514709162
845,1,110.461514709162
846,1,109.696922426493
847,1,110.461514709162
848,1,110.461514709162
849,1,110.971242897608
850,1,110.206650614939
851,1,110.971242897608
852,1,110.716378803385
853,1,111.480971086053
854,1,111.226106991831
855,1,111.226106991831
856,1,111.735835180276
857,1,111.990699274499
858,1,111.480971086053
859,1,112.245563368722
860,1,111.735835180276
861,1,112.500427462945
862,1,111.990699274499
863,1,112.500427462945
864,1,112.245563368722
865,1,113.010155651391
866,1,113.010155651391
867,1,113.265019745613
868,1,113.010155651391
869,1,113.010155651391
870,1,113.519883839836
871,1,113.265019745613
872,1,113.265019745613
873,1,113.519883839836
874,1,114.029612028282
875,1,113.519883839836
876,1,113.519883839836
877,1,114.029612028282
878,1,114.539340216728
879,1,114.539340216728
880,1,114.029612028282
881,1,114.79420431095
882,1,114.284476122505
883,1,114.79420431095
884,1,114.79420431095
885,1,114.79420431095
886,1,115.558796593619
887,1,114.79420431095
888,1,115.813660687842
889,1,115.558796593619
890,1,115.303932499396
891,1,115.813660687842
892,1,115.558796593619
893,1,116.323388876288
