,"T",,"date"
,105.97,520.7,"2022,05,31,10:50:58"
,106.73,521.71,"2022,05,31,10:50:59"
,106.73,522.71,"2022,05,31,10:51:00"
,106.22,523.71,"2022,05,31,10:51:01"
,107.5,524.74,"2022,05,31,10:51:03"
,107.24,525.74,"2022,05,31,10:51:04"
,106.73,526.74,"2022,05,31,10:51:05"
,107.5,527.74,"2022,05,31,10:51:06"
,107.24,528.75,"2022,05,31,10:51:07"
,108.01,529.78,"2022,05,31,10:51:08"
,107.76,530.78,"2022,05,31,10:51:09"
,107.5,531.78,"2022,05,31,10:51:10"
,108.52,532.78,"2022,05,31,10:51:11"
,107.5,533.78,"2022,05,31,10:51:12"
,108.01,534.82,"2022,05,31,10:51:13"
,108.01,535.82,"2022,05,31,10:51:14"
,108.52,536.82,"2022,05,31,10:51:15"
,109.29,537.82,"2022,05,31,10:51:16"
,108.78,538.82,"2022,05,31,10:51:17"
,109.54,539.85,"2022,05,31,10:51:18"
,109.54,540.86,"2022,05,31,10:51:19"
,109.8,541.86,"2022,05,31,10:51:20"
,109.29,542.86,"2022,05,31,10:51:21"
,110.05,543.86,"2022,05,31,10:51:22"
,110.56,544.89,"2022,05,31,10:51:23"
,109.8,545.9,"2022,05,31,10:51:24"
,110.31,546.9,"2022,05,31,10:51:25"
,110.31,547.9,"2022,05,31,10:51:26"
,110.05,548.9,"2022,05,31,10:51:27"
,109.8,549.93,"2022,05,31,10:51:28"
,110.05,550.93,"2022,05,31,10:51:29"
,110.56,551.94,"2022,05,31,10:51:30"
,110.56,552.94,"2022,05,31,10:51:31"
,111.33,553.94,"2022,05,31,10:51:32"
,110.82,554.97,"2022,05,31,10:51:33"
,111.84,555.97,"2022,05,31,10:51:34"
,111.33,556.97,"2022,05,31,10:51:35"
,111.33,557.97,"2022,05,31,10:51:36"
,112.09,558.98,"2022,05,31,10:51:37"
,111.84,560.01,"2022,05,31,10:51:38"
,111.84,561.01,"2022,05,31,10:51:39"
,112.6,562.01,"2022,05,31,10:51:40"
,112.35,563.01,"2022,05,31,10:51:41"
,112.86,564.02,"2022,05,31,10:51:42"
,113.11,565.05,"2022,05,31,10:51:43"
,112.35,566.05,"2022,05,31,10:51:44"
,113.62,567.05,"2022,05,31,10:51:45"
,112.86,568.05,"2022,05,31,10:51:46"
,113.11,569.05,"2022,05,31,10:51:47"
,114.13,570.09,"2022,05,31,10:51:48"
,113.37,571.09,"2022,05,31,10:51:49"
,113.11,572.09,"2022,05,31,10:51:50"
,113.88,573.09,"2022,05,31,10:51:51"
,114.64,574.09,"2022,05,31,10:51:52"
,113.88,575.12,"2022,05,31,10:51:53"
,113.88,576.13,"2022,05,31,10:51:54"
,114.9,577.13,"2022,05,31,10:51:55"
,114.9,578.13,"2022,05,31,10:51:56"
,114.9,579.13,"2022,05,31,10:51:57"
,114.64,580.16,"2022,05,31,10:51:58"
,115.41,581.16,"2022,05,31,10:51:59"
,115.92,582.17,"2022,05,31,10:52:00"
,115.41,583.17,"2022,05,31,10:52:01"
,115.92,584.17,"2022,05,31,10:52:02"
,116.17,585.2,"2022,05,31,10:52:03"
